Covariate types,Covariate,Model component,Modeling Region,Coefficient estimate,Standard deviation,2.5%,97.5%
Accessibility,Distance to road,NMod,Central & Southern Tablelands,0.014,0.01,-0.006,0.034
Accessibility,Distance to road,NMod,Central & Southern Tablelands,0.016,0.019,-0.02,0.052
Accessibility,Distance to road,NMod,Central & Southern Tablelands,-0.021,0.011,-0.042,-0
Accessibility,Distance to road,NMod,Darling Riverine Plains,0.024,0.021,-0.016,0.065
Accessibility,Distance to road,NMod,Far West,-0.024,0.01,-0.044,-0.004
Accessibility,Distance to road,NMod,Far West,-0.106,0.085,-0.272,0.062
Accessibility,Distance to road,NMod,Far West,-0.036,0.059,-0.151,0.079
Accessibility,Distance to road,NMod,North Coast,-0.003,0.013,-0.028,0.021
Accessibility,Distance to road,NMod,North Coast,-0.046,0.013,-0.071,-0.02
Accessibility,Distance to road,NMod,Northern Tablelands,0.149,0.027,0.096,0.203
Accessibility,Distance to road,NMod,Northern Tablelands,-0.022,0.016,-0.053,0.01
Accessibility,Distance to road,NMod,Northwest Slopes,-0.002,0.01,-0.022,0.019
Accessibility,Distance to road,NMod,Northwest Slopes,-0.038,0.049,-0.135,0.058
Accessibility,Distance to road,NMod,Northwest Slopes,-0.055,0.017,-0.088,-0.021
Accessibility,Distance to road,NMod,Riverina,0.128,0.032,0.066,0.19
Accessibility,Distance to road,NMod,Riverina,0.113,0.16,-0.201,0.427
Accessibility,Distance to road,NMod,Riverina,0.03,0.046,-0.06,0.12
Accessibility,Distance to road,NMod,South Coast,-0.089,0.023,-0.135,-0.043
Accessibility,Distance to road,PMod,Central & Southern Tablelands,0.025,0.012,0,0.049
Accessibility,Distance to road,PMod,Central & Southern Tablelands,-0.035,0.018,-0.071,0.001
Accessibility,Distance to road,PMod,Central & Southern Tablelands,0.034,0.011,0.012,0.055
Accessibility,Distance to road,PMod,Darling Riverine Plains,0.128,0.021,0.086,0.169
Accessibility,Distance to road,PMod,Far West,0.063,0.013,0.037,0.089
Accessibility,Distance to road,PMod,Far West,0.045,0.074,-0.099,0.19
Accessibility,Distance to road,PMod,Far West,0.328,0.069,0.193,0.463
Accessibility,Distance to road,PMod,North Coast,-0.036,0.014,-0.063,-0.009
Accessibility,Distance to road,PMod,North Coast,-0.111,0.013,-0.137,-0.086
Accessibility,Distance to road,PMod,Northern Tablelands,0.097,0.029,0.041,0.154
Accessibility,Distance to road,PMod,Northern Tablelands,-0.031,0.018,-0.067,0.005
Accessibility,Distance to road,PMod,Northwest Slopes,0.071,0.012,0.047,0.095
Accessibility,Distance to road,PMod,Northwest Slopes,0.228,0.053,0.123,0.332
Accessibility,Distance to road,PMod,Northwest Slopes,0.055,0.019,0.019,0.091
Accessibility,Distance to road,PMod,Riverina,0.106,0.028,0.051,0.161
Accessibility,Distance to road,PMod,Riverina,-0.461,0.12,-0.696,-0.226
Accessibility,Distance to road,PMod,Riverina,0.088,0.045,0,0.176
Accessibility,Distance to road,PMod,South Coast,0.149,0.03,0.091,0.207
Accessibility,Distance to urban center,NMod,Central & Southern Tablelands,0.022,0.017,-0.011,0.055
Accessibility,Distance to urban center,NMod,Central & Southern Tablelands,0.052,0.037,-0.021,0.123
Accessibility,Distance to urban center,NMod,Central & Southern Tablelands,-0.002,0.024,-0.048,0.044
Accessibility,Distance to urban center,NMod,Central Coast,-0.007,0.008,-0.023,0.008
Accessibility,Distance to urban center,NMod,Darling Riverine Plains,-0.108,0.036,-0.179,-0.037
Accessibility,Distance to urban center,NMod,Darling Riverine Plains,0.424,0.239,-0.048,0.892
Accessibility,Distance to urban center,NMod,Far West,-0.07,0.025,-0.119,-0.021
Accessibility,Distance to urban center,NMod,North Coast,0,0.016,-0.031,0.031
Accessibility,Distance to urban center,NMod,North Coast,0.048,0.023,0.002,0.094
Accessibility,Distance to urban center,NMod,North Coast,-0.112,0.028,-0.166,-0.057
Accessibility,Distance to urban center,NMod,Northern Tablelands,0.074,0.024,0.028,0.121
Accessibility,Distance to urban center,NMod,Northern Tablelands,-0.15,0.064,-0.275,-0.025
Accessibility,Distance to urban center,NMod,Northern Tablelands,-0.027,0.038,-0.102,0.048
Accessibility,Distance to urban center,NMod,Northwest Slopes,-0.003,0.019,-0.04,0.034
Accessibility,Distance to urban center,NMod,Northwest Slopes,0.043,0.071,-0.096,0.182
Accessibility,Distance to urban center,NMod,Riverina,-0.06,0.209,-0.468,0.355
Accessibility,Distance to urban center,NMod,Riverina,-0.182,0.096,-0.371,0.005
Accessibility,Distance to urban center,NMod,South Coast,0.06,0.023,0.015,0.105
Accessibility,Distance to urban center,NMod,South Coast,0.031,0.048,-0.064,0.125
Accessibility,Distance to urban center,NMod,South Coast,-0.097,0.017,-0.132,-0.063
Accessibility,Distance to urban center,PMod,Central & Southern Tablelands,0.023,0.027,-0.03,0.076
Accessibility,Distance to urban center,PMod,Central & Southern Tablelands,0.188,0.04,0.108,0.267
Accessibility,Distance to urban center,PMod,Central & Southern Tablelands,0.046,0.025,-0.004,0.095
Accessibility,Distance to urban center,PMod,Central Coast,0.05,0.013,0.025,0.076
Accessibility,Distance to urban center,PMod,Darling Riverine Plains,-0.146,0.041,-0.227,-0.064
Accessibility,Distance to urban center,PMod,Darling Riverine Plains,0.445,0.216,0.022,0.868
Accessibility,Distance to urban center,PMod,Far West,-0.029,0.032,-0.091,0.033
Accessibility,Distance to urban center,PMod,North Coast,-0.061,0.03,-0.121,-0.002
Accessibility,Distance to urban center,PMod,North Coast,0.221,0.035,0.152,0.29
Accessibility,Distance to urban center,PMod,North Coast,0.041,0.035,-0.029,0.11
Accessibility,Distance to urban center,PMod,Northern Tablelands,0.334,0.036,0.264,0.403
Accessibility,Distance to urban center,PMod,Northern Tablelands,0.442,0.088,0.269,0.614
Accessibility,Distance to urban center,PMod,Northern Tablelands,0.365,0.042,0.283,0.447
Accessibility,Distance to urban center,PMod,Northwest Slopes,0.158,0.027,0.106,0.211
Accessibility,Distance to urban center,PMod,Northwest Slopes,0.405,0.121,0.168,0.642
Accessibility,Distance to urban center,PMod,Riverina,0.77,0.206,0.369,1.178
Accessibility,Distance to urban center,PMod,Riverina,0.175,0.093,-0.007,0.356
Accessibility,Distance to urban center,PMod,South Coast,0.028,0.043,-0.055,0.111
Accessibility,Distance to urban center,PMod,South Coast,-0.297,0.073,-0.44,-0.155
Accessibility,Distance to urban center,PMod,South Coast,-0.122,0.032,-0.184,-0.059
Accessibility,Parcel size,NMod,Central & Southern Tablelands,-0.148,0.01,-0.169,-0.128
Accessibility,Parcel size,NMod,Central & Southern Tablelands,-0.144,0.018,-0.179,-0.108
Accessibility,Parcel size,NMod,Central & Southern Tablelands,-0.105,0.009,-0.123,-0.087
Accessibility,Parcel size,NMod,Central Coast,-0.048,0.008,-0.063,-0.033
Accessibility,Parcel size,NMod,Central Coast,-0.021,0.019,-0.058,0.015
Accessibility,Parcel size,NMod,Central Coast,-0.024,0.004,-0.032,-0.016
Accessibility,Parcel size,NMod,Darling Riverine Plains,-0.113,0.014,-0.14,-0.087
Accessibility,Parcel size,NMod,Darling Riverine Plains,-0.639,0.213,-1.058,-0.222
Accessibility,Parcel size,NMod,Far West,-0.036,0.008,-0.05,-0.021
Accessibility,Parcel size,NMod,Far West,-0.061,0.053,-0.165,0.044
Accessibility,Parcel size,NMod,Far West,-0.07,0.055,-0.178,0.037
Accessibility,Parcel size,NMod,North Coast,-0.093,0.008,-0.11,-0.077
Accessibility,Parcel size,NMod,North Coast,-0.05,0.007,-0.063,-0.036
Accessibility,Parcel size,NMod,North Coast,-0.078,0.009,-0.095,-0.061
Accessibility,Parcel size,NMod,Northern Tablelands,-0.139,0.01,-0.159,-0.12
Accessibility,Parcel size,NMod,Northern Tablelands,-0.107,0.02,-0.146,-0.068
Accessibility,Parcel size,NMod,Northern Tablelands,-0.12,0.012,-0.144,-0.096
Accessibility,Parcel size,NMod,Northwest Slopes,-0.109,0.006,-0.121,-0.098
Accessibility,Parcel size,NMod,Northwest Slopes,-0.061,0.024,-0.109,-0.014
Accessibility,Parcel size,NMod,Northwest Slopes,-0.118,0.01,-0.137,-0.1
Accessibility,Parcel size,NMod,Riverina,-0.176,0.023,-0.221,-0.131
Accessibility,Parcel size,NMod,Riverina,-0.112,0.089,-0.288,0.06
Accessibility,Parcel size,NMod,Riverina,-0.032,0.016,-0.063,-0
Accessibility,Parcel size,NMod,South Coast,-0.614,0.094,-0.798,-0.431
Accessibility,Parcel size,NMod,South Coast,-0.124,0.064,-0.25,0.002
Accessibility,Parcel size,NMod,South Coast,-0.006,0.005,-0.015,0.004
Accessibility,Parcel size,PMod,Central & Southern Tablelands,0.424,0.011,0.403,0.446
Accessibility,Parcel size,PMod,Central & Southern Tablelands,0.286,0.015,0.256,0.317
Accessibility,Parcel size,PMod,Central & Southern Tablelands,0.427,0.011,0.406,0.449
Accessibility,Parcel size,PMod,Central Coast,0.127,0.008,0.111,0.142
Accessibility,Parcel size,PMod,Central Coast,0.084,0.013,0.058,0.11
Accessibility,Parcel size,PMod,Central Coast,0.112,0.006,0.099,0.124
Accessibility,Parcel size,PMod,Darling Riverine Plains,0.471,0.022,0.429,0.513
Accessibility,Parcel size,PMod,Darling Riverine Plains,1.377,0.177,1.03,1.723
Accessibility,Parcel size,PMod,Far West,0.448,0.018,0.413,0.484
Accessibility,Parcel size,PMod,Far West,0.206,0.036,0.135,0.277
Accessibility,Parcel size,PMod,Far West,5.035,0.27,4.505,5.565
Accessibility,Parcel size,PMod,North Coast,0.31,0.011,0.289,0.331
Accessibility,Parcel size,PMod,North Coast,0.305,0.012,0.282,0.329
Accessibility,Parcel size,PMod,North Coast,0.215,0.01,0.195,0.234
Accessibility,Parcel size,PMod,Northern Tablelands,0.502,0.015,0.474,0.531
Accessibility,Parcel size,PMod,Northern Tablelands,0.309,0.02,0.27,0.349
Accessibility,Parcel size,PMod,Northern Tablelands,0.382,0.015,0.352,0.411
Accessibility,Parcel size,PMod,Northwest Slopes,0.449,0.009,0.432,0.466
Accessibility,Parcel size,PMod,Northwest Slopes,0.252,0.019,0.215,0.29
Accessibility,Parcel size,PMod,Northwest Slopes,0.419,0.011,0.397,0.441
Accessibility,Parcel size,PMod,Riverina,0.208,0.016,0.177,0.24
Accessibility,Parcel size,PMod,Riverina,0.065,0.018,0.03,0.1
